"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"14473","Tue Mar 31 06:37:31 +0000 2020",1.244876460999e+18,0,"Mysore, India",12.3051828,76.6553609,"16"
"14474","Tue Mar 31 06:37:35 +0000 2020",1244876476391895040,0.2,"Rajkot, India",22.3051991,70.8028335,"16"
"14475","Tue Mar 31 06:38:11 +0000 2020",1244876629563695104,0.2828125,"New Delhi, India",28.6138954,77.2090057,"10"
"14476","Tue Mar 31 06:38:52 +0000 2020",1244876798858375168,0,"Moradabad, India",28.8638424,78.805778330911,"10"
"14477","Tue Mar 31 06:39:57 +0000 2020",1244877071228317696,0,"New Delhi, India",28.6138954,77.2090057,"10"
"14478","Tue Mar 31 06:39:58 +0000 2020",1244877076512956416,-0.6,"Bidhan Nagar, India",22.5912601,88.3909641,"30"
"14479","Tue Mar 31 06:40:14 +0000 2020",1244877143617626112,0.495833333333333,"Kolkata, India",22.5414185,88.3576912438887,"12"
"14480","Tue Mar 31 06:40:23 +0000 2020",1244877182255501312,0,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14481","Tue Mar 31 06:41:06 +0000 2020",1244877360828047360,-0.0125,"New Delhi, India",28.6138954,77.2090057,"10"
"14482","Tue Mar 31 06:41:34 +0000 2020",1244877481108103168,0.5,"Varanasi, India",25.3356491,83.0076292,"16"
"14483","Tue Mar 31 06:41:50 +0000 2020",1244877544639172608,0,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14484","Tue Mar 31 06:42:30 +0000 2020",1244877713711628288,0.5,"Jaipur, India",26.9154576,75.8189817,"16"
"14485","Tue Mar 31 06:42:46 +0000 2020",1244877780908519424,-0.0866666666666667,"India",22.3511148,78.6677428,"4"
"14486","Tue Mar 31 06:42:58 +0000 2020",1244877832762916864,0.185,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14487","Tue Mar 31 06:43:06 +0000 2020",1244877866149351424,0.25,"Bidhan Nagar, India",22.5912601,88.3909641,"30"
"14488","Tue Mar 31 06:43:09 +0000 2020",1244877876190724096,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14489","Tue Mar 31 06:43:11 +0000 2020",1244877886680514560,-0.0416666666666667,"Noida, India",28.5707841,77.3271074,"16"
"14490","Tue Mar 31 06:43:13 +0000 2020",1.244877895908e+18,0.0875,"Phusro, India",23.7678684,85.9873831,"19"
"14491","Tue Mar 31 06:43:22 +0000 2020",1244877933728034816,-0.2125,"New Delhi, India",28.6138954,77.2090057,"10"
"14492","Tue Mar 31 06:43:31 +0000 2020",1244877968687562752,0.1,"Haveli, India",18.51051985,74.0609353177903,"12"
"14493","Tue Mar 31 06:44:00 +0000 2020",1244878091614187520,0.5,"Varanasi, India",25.3356491,83.0076292,"16"
"14494","Tue Mar 31 06:44:56 +0000 2020",1244878325039927296,0,"Haveli, India",18.51051985,74.0609353177903,"12"
"14495","Tue Mar 31 06:45:21 +0000 2020",1244878431579496448,0.5,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"14496","Tue Mar 31 06:46:25 +0000 2020",1244878698630668288,0,"Vellore",12.7948109,79.0006410968549,"12"
"14497","Tue Mar 31 06:46:41 +0000 2020",1244878767618576384,-0.0666666666666667,"New Delhi, India",28.6138954,77.2090057,"10"
"14498","Tue Mar 31 06:46:45 +0000 2020",1244878786082017280,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14499","Tue Mar 31 06:46:54 +0000 2020",1244878823293771776,0.266666666666667,"Mumbai, India",19.0759899,72.8773928,"16"
"14500","Tue Mar 31 06:47:32 +0000 2020",1244878982803124224,-0.0305555555555556,"Parli, India",18.91432525,76.4672071376707,"12"
"14501","Tue Mar 31 06:47:44 +0000 2020",1244879031964581888,0,"Hyderabad, India",17.38878595,78.4610647345315,"10"
